benchmark,cpu_load,sample_idx,rtt
base     ,0.0     ,0         ,0.07486343383789062
base     ,0.0     ,1         ,0.1289844512939453
base     ,0.0     ,2         ,0.3345012664794922
base     ,0.0     ,3         ,0.10013580322265625
base     ,0.0     ,4         ,0.10895729064941406
base     ,0.0     ,5         ,0.13566017150878906
base     ,0.0     ,6         ,0.05245208740234375
base     ,0.0     ,7         ,0.08916854858398438
base     ,0.0     ,8         ,0.15735626220703125
base     ,0.0     ,9         ,0.1575946807861328
base     ,0.0     ,10        ,0.16880035400390625
base     ,0.0     ,11        ,0.07748603820800781
base     ,0.0     ,12        ,0.072479248046875
base     ,0.0     ,13        ,0.14710426330566406
base     ,0.0     ,14        ,0.14638900756835938
base     ,0.0     ,15        ,0.11944770812988281
base     ,0.0     ,16        ,0.09369850158691406
base     ,0.0     ,17        ,0.12636184692382812
base     ,0.0     ,18        ,0.1277923583984375
base     ,0.0     ,19        ,0.1289844512939453
base     ,0.0     ,20        ,0.15592575073242188
base     ,0.0     ,21        ,0.10037422180175781
base     ,0.0     ,22        ,0.13756752014160156
base     ,0.0     ,23        ,0.17952919006347656
base     ,0.0     ,24        ,0.1366138458251953
base     ,0.0     ,25        ,0.11372566223144531
base     ,0.0     ,26        ,0.09131431579589844
base     ,0.0     ,27        ,0.0705718994140625
base     ,0.0     ,28        ,0.19216537475585938
base     ,0.0     ,29        ,0.15163421630859375
base     ,0.0     ,30        ,0.07677078247070312
base     ,0.0     ,31        ,0.17571449279785156
base     ,0.0     ,32        ,0.13327598571777344
base     ,0.0     ,33        ,0.1430511474609375
base     ,0.0     ,34        ,0.12993812561035156
base     ,0.0     ,35        ,0.060558319091796875
base     ,0.0     ,36        ,0.095367431640625
base     ,0.0     ,37        ,0.1590251922607422
base     ,0.0     ,38        ,0.17142295837402344
base     ,0.0     ,39        ,0.1456737518310547
base     ,0.0     ,40        ,0.102996826171875
base     ,0.0     ,41        ,0.16021728515625
base     ,0.0     ,42        ,0.10943412780761719
base     ,0.0     ,43        ,0.15020370483398438
base     ,0.0     ,44        ,0.14495849609375
base     ,0.0     ,45        ,0.1068115234375
base     ,0.0     ,46        ,0.12135505676269531
base     ,0.0     ,47        ,0.14543533325195312
base     ,0.0     ,48        ,0.07581710815429688
base     ,0.0     ,49        ,0.17189979553222656
tcpdump  ,0.0     ,0         ,0.09417533874511719
tcpdump  ,0.0     ,1         ,0.08416175842285156
tcpdump  ,0.0     ,2         ,0.0514984130859375
tcpdump  ,0.0     ,3         ,0.051975250244140625
tcpdump  ,0.0     ,4         ,0.13303756713867188
tcpdump  ,0.0     ,5         ,0.11682510375976562
tcpdump  ,0.0     ,6         ,0.08606910705566406
tcpdump  ,0.0     ,7         ,0.08678436279296875
tcpdump  ,0.0     ,8         ,0.0209808349609375
tcpdump  ,0.0     ,9         ,0.11348724365234375
tcpdump  ,0.0     ,10        ,0.09703636169433594
tcpdump  ,0.0     ,11        ,0.11110305786132812
tcpdump  ,0.0     ,12        ,0.1125335693359375
tcpdump  ,0.0     ,13        ,0.06961822509765625
tcpdump  ,0.0     ,14        ,0.08106231689453125
tcpdump  ,0.0     ,15        ,0.10061264038085938
tcpdump  ,0.0     ,16        ,0.06794929504394531
tcpdump  ,0.0     ,17        ,0.118255615234375
tcpdump  ,0.0     ,18        ,0.055789947509765625
tcpdump  ,0.0     ,19        ,0.12230873107910156
tcpdump  ,0.0     ,20        ,0.11777877807617188
tcpdump  ,0.0     ,21        ,0.08273124694824219
tcpdump  ,0.0     ,22        ,0.1163482666015625
tcpdump  ,0.0     ,23        ,0.02765655517578125
tcpdump  ,0.0     ,24        ,0.12063980102539062
tcpdump  ,0.0     ,25        ,0.1380443572998047
tcpdump  ,0.0     ,26        ,0.11444091796875
tcpdump  ,0.0     ,27        ,0.12803077697753906
tcpdump  ,0.0     ,28        ,0.02193450927734375
tcpdump  ,0.0     ,29        ,0.11348724365234375
tcpdump  ,0.0     ,30        ,0.080108642578125
tcpdump  ,0.0     ,31        ,0.09441375732421875
tcpdump  ,0.0     ,32        ,0.12946128845214844
tcpdump  ,0.0     ,33        ,0.08749961853027344
tcpdump  ,0.0     ,34        ,0.08893013000488281
tcpdump  ,0.0     ,35        ,0.11205673217773438
tcpdump  ,0.0     ,36        ,0.118255615234375
tcpdump  ,0.0     ,37        ,0.02193450927734375
tcpdump  ,0.0     ,38        ,0.07319450378417969
tcpdump  ,0.0     ,39        ,0.09441375732421875
tcpdump  ,0.0     ,40        ,0.11730194091796875
tcpdump  ,0.0     ,41        ,0.0667572021484375
tcpdump  ,0.0     ,42        ,0.07176399230957031
tcpdump  ,0.0     ,43        ,0.023603439331054688
tcpdump  ,0.0     ,44        ,0.118255615234375
tcpdump  ,0.0     ,45        ,0.034809112548828125
tcpdump  ,0.0     ,46        ,0.06556510925292969
tcpdump  ,0.0     ,47        ,0.057220458984375
tcpdump  ,0.0     ,48        ,0.07295608520507812
tcpdump  ,0.0     ,49        ,0.02193450927734375
proxy    ,0.0     ,0         ,0.18334388732910156
proxy    ,0.0     ,1         ,2.3353099822998047
proxy    ,0.0     ,2         ,0.26488304138183594
proxy    ,0.0     ,3         ,0.2732276916503906
proxy    ,0.0     ,4         ,0.3998279571533203
proxy    ,0.0     ,5         ,0.2846717834472656
proxy    ,0.0     ,6         ,0.37384033203125
proxy    ,0.0     ,7         ,0.37741661071777344
proxy    ,0.0     ,8         ,0.3559589385986328
proxy    ,0.0     ,9         ,0.3695487976074219
proxy    ,0.0     ,10        ,0.2193450927734375
proxy    ,0.0     ,11        ,0.3807544708251953
proxy    ,0.0     ,12        ,0.2918243408203125
proxy    ,0.0     ,13        ,0.278472900390625
proxy    ,0.0     ,14        ,0.3235340118408203
proxy    ,0.0     ,15        ,0.2636909484863281
